[00:00:00.620 - 00:00:12.300] 我们是心肺科105院病房
[00:02:51.219 - 00:02:53.900] 它是要全麻胸骨去开
[00:02:53.939 - 00:02:55.340] 心脏拉出来
[00:02:55.340 - 00:02:58.180] 再从你腿上割两节血管
[00:02:58.180 - 00:03:00.020] 缝在心脏上面去
[00:03:00.020 - 00:03:02.379] 它是一个很大的开胸的手术
[00:03:02.379 - 00:03:03.819] 听着有点可怕
[00:03:03.819 - 00:03:07.099] 但是最适合没有考上本科的病人
[00:03:07.099 - 00:03:08.379] 如果你属于这种情况
[00:03:08.379 - 00:03:10.580] 我们告知你病情以后
[00:03:10.580 - 00:03:11.900] 你就回来了
[00:03:11.900 - 00:03:14.340] 回来以后你的主管医生会给你请
[00:03:14.340 - 00:03:18.099] 心脏外科做搭桥手术的专家来会诊
[00:03:18.099 - 00:03:20.219] 跟你商量你这个刀能不能开
[00:03:20.219 - 00:03:21.860] 以及什么时候开
[00:03:21.860 - 00:03:23.500] 如果确定需要开刀的
[00:03:23.500 - 00:03:25.539] 一般是我们这里先出院
[00:03:25.539 - 00:03:27.659] 等心脏外科有了床位
[00:03:27.659 - 00:03:29.460] 再把你收到心脏外科
[00:03:29.460 - 00:03:31.139] 去完成这个手术
[00:03:31.139 - 00:03:32.259] 这个就是第一个问题
[00:03:32.259 - 00:03:32.979] 最重要的
[00:03:32.979 - 00:03:34.259] 明天为什么要做
[00:03:34.259 - 00:03:35.860] 这个大家要记清楚
[00:03:35.860 - 00:03:37.379] 那么第二个问题是什么呢
[00:03:37.379 - 00:03:38.860] 就是我们心脏的
[00:03:38.860 - 00:03:41.219] 心内科的手术怎么做
[00:03:41.219 - 00:03:42.900] 我们心内科的手术
[00:03:42.900 - 00:03:45.139] 是灰状的手术
[00:03:45.139 - 00:03:45.979] 大部分病人
[00:03:45.979 - 00:03:49.180] 我们在你右手手腕的地方打一个针
[00:03:49.180 - 00:03:50.939] 打的针打去哪呢
[00:03:50.939 - 00:03:52.460] 打到动脉里面
[00:03:52.500 - 00:03:53.900] 到了动脉里面
[00:03:53.900 - 00:03:57.300] 我们就可以顺着动脉管腔逆流而上
[00:03:57.300 - 00:03:58.620] 到你心脏里面
[00:03:58.620 - 00:04:01.300] 去做各种各样的检查和操作
[00:04:01.300 - 00:04:02.539] 无论是只做造影
[00:04:02.539 - 00:04:04.020] 还是还需要输通血管
[00:04:04.020 - 00:04:06.659] 大部分病人就右手手腕这里
[00:04:06.659 - 00:04:09.099] 一个睁眼大的伤口
[00:04:09.099 - 00:04:10.139] 这个伤口的地方
[00:04:10.139 - 00:04:11.860] 我们打一点菊麻药
[00:04:11.860 - 00:04:15.300] 你全程都是清醒的
[00:04:15.300 - 00:04:16.420] 那么有的病人
[00:04:16.420 - 00:04:20.100] 右边这条胳膊血管有解剖的问题
[00:04:20.100 - 00:04:22.019] 有扭曲有狭窄
[00:04:22.019 - 00:04:23.420] 管子动不上去
[00:04:23.420 - 00:04:25.019] 我们就得从左手来做
[00:04:25.019 - 00:04:26.779] 但是原理是一样的
[00:04:26.779 - 00:04:30.379] 还有的病人两条胳膊血管都不适合做
[00:04:30.379 - 00:04:32.220] 我们就要从大腿上来做
[00:04:32.220 - 00:04:35.259] 从大家腹骨沟的地方来打针
[00:04:35.259 - 00:04:36.620] 来做这个手术
[00:04:36.620 - 00:04:37.980] 无论哪里打针
[00:04:37.980 - 00:04:39.459] 只要针能打得进去
[00:04:39.459 - 00:04:40.740] 我们手术都能做
[00:04:40.740 - 00:04:42.420] 手术效果都是一样的
[00:04:42.420 - 00:04:45.660] 但是从腿上做的病人回来
[00:04:45.660 - 00:04:47.100] 你是不能下地的
[00:04:47.100 - 00:04:48.939] 要直挺挺的躺在床上
[00:04:48.939 - 00:04:51.459] 躺一晚上相对会比较痛
[00:04:51.500 - 00:04:53.259] 所以医生为了方便大家
[00:04:53.259 - 00:04:55.660] 尽量会从胳膊上完成手术
[00:04:55.660 - 00:04:57.100] 实在病情需要没办法
[00:04:57.100 - 00:04:58.379] 那就从腿上做
[00:04:58.379 - 00:05:01.220] 这是我们手术怎么做的问题
[00:05:01.220 - 00:05:02.420] 那么到了第三块
[00:05:02.420 - 00:05:04.819] 就是要讲一下大家入院以后
[00:05:04.819 - 00:05:05.740] 收你的医生
[00:05:05.740 - 00:05:08.300] 让你在电脑上面扫码签字
[00:05:08.300 - 00:05:09.420] 签了很多内容
[00:05:09.420 - 00:05:11.620] 要讲一下这些内容是什么
[00:05:11.620 - 00:05:13.740] 第一张签字
[00:05:13.740 - 00:05:14.980] 字最多的那一张
[00:05:14.980 - 00:05:18.459] 是我们造影手术和介入手术
[00:05:18.459 - 00:05:19.660] 放在一起
[00:05:19.699 - 00:05:22.139] 在全世界做了50多年以来
[00:05:22.139 - 00:05:23.899] 发生过的所有的意外
[00:05:23.899 - 00:05:25.500] 我们全部把它写上去
[00:05:25.500 - 00:05:27.660] 有的也许没在我们这边发生过
[00:05:27.660 - 00:05:29.699] 国外发生了一例报道了
[00:05:29.699 - 00:05:31.300] 那我们都会把它写上去
[00:05:31.300 - 00:05:33.019] 因为意外的事情
[00:05:33.019 - 00:05:34.139] 我们都要记录一下
[00:05:34.139 - 00:05:37.620] 就有点像大家坐飞机之前去买保险
[00:05:37.620 - 00:05:40.459] 那么其中很多的风险
[00:05:40.459 - 00:05:42.379] 随着现在技术进步以后
[00:05:42.379 - 00:05:43.779] 已经非常罕见了
[00:05:43.779 - 00:05:45.579] 可能好多年也碰不到一例
[00:05:45.579 - 00:05:48.220] 那么这种的我们这里就不多讲
[00:05:48.220 - 00:05:49.540] 还有一部分风险
[00:05:49.540 - 00:05:51.139] 相对比较常见
[00:05:51.139 - 00:05:53.100] 但是可以预测
[00:05:53.100 - 00:05:54.180] 怎么预测呢
[00:05:54.180 - 00:05:56.300] 通过大家竖前验小便
[00:05:56.300 - 00:05:59.220] 验大便和验血来预测的
[00:05:59.220 - 00:06:00.180] 这一部分指标
[00:06:00.180 - 00:06:01.699] 这里也不同意讲
[00:06:01.699 - 00:06:03.339] 如果你的指标不适合做
[00:06:03.339 - 00:06:05.860] 你的主管医生会专门去通知你
[00:06:05.860 - 00:06:07.459] 取消手术的
[00:06:07.459 - 00:06:09.379] 我今天重点要讲的
[00:06:09.379 - 00:06:12.220] 是一些相对不太常见
[00:06:12.220 - 00:06:15.259] 但是人为无法避免的
[00:06:15.259 - 00:06:16.860] 什么叫人为无法避免
[00:06:16.860 - 00:06:18.180] 就是你在手术台上
[00:06:18.180 - 00:06:19.579] 确实也很配合
[00:06:19.579 - 00:06:21.540] 手术医生也在认真地做
[00:06:21.540 - 00:06:22.740] 但是有些事情
[00:06:22.740 - 00:06:24.420] 就是人为无法预测的
[00:06:24.420 - 00:06:26.379] 这个要跟大家强调一下
[00:06:26.379 - 00:06:29.379] 第一大类叫血管损伤的风险
[00:06:29.379 - 00:06:31.500] 因为明天我们没有办法
[00:06:31.500 - 00:06:34.139] 钻到你的血管里面去做手术
[00:06:34.139 - 00:06:35.699] 我们怎么能看到呢
[00:06:35.699 - 00:06:38.420] 需要在X线的辐射下面
[00:06:38.420 - 00:06:41.180] 打了噪音机让你的血管显影
[00:06:41.180 - 00:06:43.819] 才能在电视上看到你的血管
[00:06:43.819 - 00:06:45.980] 那么这个电视大家知道是一个平面
[00:06:45.980 - 00:06:47.620] 但是我们血管是什么
[00:06:47.660 - 00:06:49.259] 是立体的 对不对
[00:06:49.259 - 00:06:52.139] 从三围到二围会少掉一个方向
[00:06:52.139 - 00:06:53.860] 如果这个方向的血管
[00:06:53.860 - 00:06:55.899] 我们气泻走偏了
[00:06:55.899 - 00:06:57.699] 那有可能血管就擦伤了
[00:06:57.699 - 00:06:58.579] 对不对
[00:06:58.579 - 00:07:00.779] 如果是胳膊上面的血管擦伤
[00:07:00.779 - 00:07:02.019] 这个比较简单
[00:07:02.019 - 00:07:03.860] 加压包扎两到三天
[00:07:03.860 - 00:07:05.579] 基本上都可以痊愈
[00:07:05.579 - 00:07:08.420] 如果是进到胸腔腹腔里面了
[00:07:08.420 - 00:07:10.300] 就是连着心脏的大动脉
[00:07:10.300 - 00:07:12.139] 或者是从腿上做的手术
[00:07:12.139 - 00:07:13.660] 腿上的这个动脉
[00:07:13.660 - 00:07:15.740] 这几个位置比较深
[00:07:15.779 - 00:07:16.779] 如果损伤了
[00:07:16.779 - 00:07:18.660] 加压包扎 压不牢
[00:07:18.660 - 00:07:20.339] 那么很严重的情况下
[00:07:20.339 - 00:07:21.500] 如果确实损伤了
[00:07:21.500 - 00:07:23.220] 我们是需要开刀
[00:07:23.220 - 00:07:25.300] 才能把这个血管修好
[00:07:25.300 - 00:07:27.420] 好在这几个血管比较粗
[00:07:27.420 - 00:07:29.699] 相对于我们很细的一个管子来说
[00:07:29.699 - 00:07:32.019] 它擦伤的风险非常低
[00:07:32.019 - 00:07:36.060] 但是如果你本人有主动脉的毛病
[00:07:36.060 - 00:07:37.620] 主动脉的毛病是什么呢
[00:07:37.620 - 00:07:39.540] 比如说主动脉流氧扩张
[00:07:39.540 - 00:07:41.420] 甚至有些病人有主动脉夹层
[00:07:41.420 - 00:07:42.500] 放过肢下的
[00:07:42.500 - 00:07:44.300] 有这种大动脉疾病的
[00:07:44.300 - 00:07:46.220] 那请你千万不要隐瞒病史
[00:07:46.220 - 00:07:48.300] 你如果隐瞒了病史我们不知道
[00:07:48.300 - 00:07:50.379] 可能会造成灾难性的后果
[00:07:50.379 - 00:07:52.220] 这个是大家要知道的
[00:07:52.220 - 00:07:54.660] 第三段血管就是我们主战场
[00:07:54.660 - 00:07:55.699] 冠状动脉
[00:07:55.699 - 00:07:58.220] 明天我们基本上所有的操作
[00:07:58.220 - 00:08:00.220] 都是发生在这个地方
[00:08:00.220 - 00:08:02.139] 那么冠状动脉如果说你明天
[00:08:02.139 - 00:08:03.500] 只做了第一步
[00:08:03.500 - 00:08:05.420] 做了造影的检查
[00:08:05.420 - 00:08:07.980] 因为我们不直接对血管发力
[00:08:07.980 - 00:08:11.740] 所以一般来说是不会损伤血管的
[00:08:11.740 - 00:08:14.860] 如果说你还需要做第二步
[00:08:14.899 - 00:08:16.579] 要做这个进入治疗了
[00:08:16.579 - 00:08:18.180] 就是要疏通血管了
[00:08:18.180 - 00:08:19.220] 那大家知道
[00:08:19.220 - 00:08:21.420] 在疏通血管的过程中
[00:08:21.420 - 00:08:23.459] 一定要先把血管弄破
[00:08:23.459 - 00:08:25.379] 这个血管才能疏通得了
[00:08:25.379 - 00:08:27.939] 这个原理就有点像大家挤痘痘一样
[00:08:27.939 - 00:08:29.860] 你想想你的这个斑块
[00:08:29.860 - 00:08:31.860] 就像你血管里面长了个痘痘
[00:08:31.860 - 00:08:34.100] 这个痘痘你不把它弄破
[00:08:34.100 - 00:08:36.100] 里面的脏东西是弄不干净的
[00:08:36.100 - 00:08:37.580] 所以是一样的道理
[00:08:37.580 - 00:08:38.940] 我们如果决定了
[00:08:38.940 - 00:08:40.620] 要对这个斑块进行介入
[00:08:40.620 - 00:08:44.299] 我们首先就会用一个小的安全的气囊
[00:08:44.299 - 00:08:46.580] 进去把这个痘痘给它弄破
[00:08:46.580 - 00:08:47.740] 弄破以后呢
[00:08:47.740 - 00:08:49.139] 马上复查造影
[00:08:49.139 - 00:08:51.779] 看一下这个痘痘破口是不是稳定
[00:08:51.779 - 00:08:54.679] 以及它的位置是不是重要
[00:08:54.679 - 00:08:56.559] 如果说破口很稳定
[00:08:56.559 - 00:08:58.480] 位置又不太重要呢
[00:08:58.480 - 00:09:01.240] 我们就会下一步用一个药物球囊
[00:09:01.240 - 00:09:02.559] 这个药物球囊表面
[00:09:02.559 - 00:09:05.120] 它涂了像云南白药一样的药粉
[00:09:05.120 - 00:09:08.080] 我们进去把你的这个伤口给压压平
[00:09:08.080 - 00:09:09.360] 药粉涂涂好
[00:09:09.360 - 00:09:10.600] 血管也通烫了
[00:09:10.600 - 00:09:13.360] 这个球囊我们就把它拿出来了
[00:09:13.399 - 00:09:16.519] 好处就是你体内不用留有异物在里面
[00:09:16.519 - 00:09:18.379] 不用留有异物
[00:09:18.379 - 00:09:22.259] 还有一部分斑块挤破了以后很不稳定
[00:09:22.259 - 00:09:23.740] 这个伤口很不稳定
[00:09:23.740 - 00:09:26.059] 或者它的位置非常要紧
[00:09:26.059 - 00:09:28.460] 长在非常关键的地方
[00:09:28.460 - 00:09:30.980] 那我们就会首选用一个支架
[00:09:30.980 - 00:09:34.179] 支架它是一个外界的管道
[00:09:34.179 - 00:09:35.379] 像一节钢管一样
[00:09:35.379 - 00:09:36.899] 我们送进去
[00:09:36.899 - 00:09:39.220] 永远地把你这关血管给压掉
[00:09:39.220 - 00:09:42.100] 用这段钢管代替你原来的血管
[00:09:42.139 - 00:09:45.070] 那么这个支架就永远地留在里面
[00:09:45.070 - 00:09:47.350] 无论用哪一种介入治疗方式
[00:09:47.350 - 00:09:49.549] 当我们手术疏通好了成功了
[00:09:49.549 - 00:09:50.990] 这个破口也修好了
[00:09:50.990 - 00:09:51.789] 明白吗
[00:09:51.789 - 00:09:53.309] 所以叫不破不立
[00:09:53.309 - 00:09:54.309] 先破再立
[00:09:54.309 - 00:09:55.830] 有这么一个过程
[00:09:55.830 - 00:10:00.789] 但是有一少部分极高微的斑块
[00:10:00.789 - 00:10:02.629] 支架放进去也分不住
[00:10:02.629 - 00:10:04.149] 这个偶尔会碰到
[00:10:04.149 - 00:10:06.710] 如果确实支架都分不住的斑块
[00:10:06.710 - 00:10:08.190] 那我们就比较讨厌了
[00:10:08.190 - 00:10:11.149] 就要当场去楼上开胸搭桥
[00:10:11.149 - 00:10:12.149] 一边搭桥
[00:10:12.149 - 00:10:13.909] 一边去焚补血管
[00:10:13.909 - 00:10:17.470] 在我们中山医院每年四五万个病人当中
[00:10:17.470 - 00:10:19.509] 高微的病人是不少的
[00:10:19.509 - 00:10:22.149] 平均下来每年会有十多个病人
[00:10:22.149 - 00:10:24.309] 要走到刚场搭桥这一步
[00:10:24.309 - 00:10:25.309] 大家要知道
[00:10:25.309 - 00:10:27.110] 这是第一大类的风险
[00:10:27.110 - 00:10:29.230] 第二大类的风险来自于噪音剂
[00:10:29.230 - 00:10:30.389] 噪音剂有两个问题
[00:10:30.389 - 00:10:33.509] 第一个它有可能会导致过敏
[00:10:33.509 - 00:10:35.350] 过敏的话大家记住一个字
[00:10:35.350 - 00:10:36.350] 叫做痒
[00:10:36.350 - 00:10:37.470] 就是骚痒的痒
[00:10:37.470 - 00:10:39.470] 像好几百只蚊子把你咬了一样
[00:10:39.470 - 00:10:40.830] 这种感觉
[00:10:40.870 - 00:10:42.629] 你在台上是清醒的
[00:10:42.629 - 00:10:46.350] 所以你在手术台上如果觉得有任何误味
[00:10:46.350 - 00:10:47.990] 骚痒非常明显
[00:10:47.990 - 00:10:49.590] 要第一时间跟医生讲
[00:10:49.590 - 00:10:51.789] 医生帮你看一下是不是过敏了
[00:10:51.789 - 00:10:53.470] 如果是过敏我们及时用药
[00:10:53.470 - 00:10:55.110] 它就可以好了
[00:10:55.110 - 00:10:58.309] 但是有万分之一到万分之三的病人
[00:10:58.309 - 00:10:59.789] 没有痒的这个感受
[00:10:59.789 - 00:11:00.909] 没有这个过程
[00:11:00.909 - 00:11:02.470] 一下子就昏过去了
[00:11:02.470 - 00:11:04.230] 就像打了氢萎素休克一样
[00:11:04.230 - 00:11:05.590] 一下就休克了
[00:11:05.590 - 00:11:06.669] 那么这种情况
[00:11:06.669 - 00:11:08.789] 我们需要马上气管插管
[00:11:08.830 - 00:11:11.549] 病人才能拉得回来
[00:11:11.549 - 00:11:12.870] 发生概率比较低
[00:11:12.870 - 00:11:14.669] 但是我们中生院的量大
[00:11:14.669 - 00:11:16.549] 所以每年也会碰到
[00:11:16.549 - 00:11:18.629] 这个噪影剧过敏有个讨厌的地方
[00:11:18.629 - 00:11:19.590] 它不像氢萎素
[00:11:19.590 - 00:11:21.789] 我打了提示就知道过不过敏
[00:11:21.789 - 00:11:25.669] 噪影剧是没有一个很好的预测方式的
[00:11:25.669 - 00:11:28.470] 唯一的一种比较好的预测的办法
[00:11:28.470 - 00:11:31.389] 就是你有过噪影剧过敏的病史
[00:11:31.389 - 00:11:32.389] 什么意思呢
[00:11:32.389 - 00:11:34.429] 就是如果你以前做过噪影
[00:11:34.429 - 00:11:35.710] 做过支架
[00:11:35.710 - 00:11:38.629] 或者做过任何部位的增强CT
[00:11:38.629 - 00:11:40.309] 老百姓叫什么加强CT
[00:11:40.309 - 00:11:41.950] 打药水的那种
[00:11:41.950 - 00:11:43.789] 如果你做过这些检查
[00:11:43.789 - 00:11:46.820] 出现过过敏的症状
[00:11:46.820 - 00:11:49.179] 那你要记得待会要找你的床卫医生
[00:11:49.179 - 00:11:50.299] 专门去讲一下
[00:11:50.299 - 00:11:52.659] 我们要重新来评估风险
[00:11:52.659 - 00:11:54.340] 如果我们觉得风险呢
[00:11:54.340 - 00:11:55.539] 还能够接受
[00:11:55.539 - 00:11:57.899] 那么会给你用一些保护性的药物
[00:11:57.899 - 00:12:00.860] 来帮助你安全地度过这个手术
[00:12:00.860 - 00:12:02.139] 如果你没有这种病史
[00:12:02.139 - 00:12:05.200] 明天台上只能看各位的体质
[00:12:05.200 - 00:12:08.799] 噪影剧还有第二个不可预测的事情
[00:12:08.840 - 00:12:10.759] 就是这个东西比较粘稠
[00:12:10.759 - 00:12:12.000] 有点像胶水
[00:12:12.000 - 00:12:13.600] 像浆糊一样
[00:12:13.600 - 00:12:15.679] 这个东西浸到脑子里面容易
[00:12:15.679 - 00:12:17.639] 但是从脑子里面代写出来
[00:12:17.639 - 00:12:18.799] 会比较慢
[00:12:18.799 - 00:12:19.919] 所以有一段时间
[00:12:19.919 - 00:12:22.200] 你的脑子里面时间上是有浆糊的
[00:12:22.200 - 00:12:23.399] 那么有的病人呢
[00:12:23.399 - 00:12:26.080] 就会觉得头痛 头胀不舒服
[00:12:26.080 - 00:12:28.279] 当然不是所有人 个别人
[00:12:28.279 - 00:12:30.279] 如果你头痛头胀的厉害
[00:12:30.279 - 00:12:32.000] 甚至有些糖尿病的病人
[00:12:32.000 - 00:12:33.519] 看东西都不清楚了
[00:12:33.519 - 00:12:35.399] 那你第一时间要跟医生来反映
[00:12:35.399 - 00:12:38.799] 我们要帮你及时地判断和处理
[00:12:38.799 - 00:12:41.360] 你回来无论有没有这种症状
[00:12:41.360 - 00:12:44.399] 你都要记住要多喝水多小便
[00:12:44.399 - 00:12:46.759] 早一点把这个东西给它吸湿尿出去
[00:12:46.759 - 00:12:48.000] 那么就好了
[00:12:48.000 - 00:12:50.279] 所以一定要记住回来以后要多喝水
[00:12:50.279 - 00:12:52.460] 这是噪影剧的第二个问题
[00:12:52.460 - 00:12:55.299] 第三大类风险叫做出血
[00:12:55.299 - 00:12:57.580] 我们这个手术和外科手术不一样
[00:12:57.580 - 00:12:59.340] 外科手术之前最怕什么
[00:12:59.340 - 00:13:00.500] 最怕阿斯皮林
[00:13:00.500 - 00:13:02.460] 都会让大家停掉阿斯皮林
[00:13:02.460 - 00:13:05.580] 我们这个手术不仅不停阿斯皮林
[00:13:05.580 - 00:13:08.019] 而且还要阿斯皮林加量
[00:13:08.059 - 00:13:09.820] 我们要在活血的状态下
[00:13:09.820 - 00:13:11.980] 这个手术才做得成
[00:13:11.980 - 00:13:13.299] 必须得活血
[00:13:13.299 - 00:13:15.740] 否则的话这个管子一进到血管里面
[00:13:15.740 - 00:13:18.179] 这个血小板全部捏上去长了血栓
[00:13:18.179 - 00:13:19.419] 这手术不仅做不了
[00:13:19.419 - 00:13:21.620] 而且可能它会带来其他的问题
[00:13:21.620 - 00:13:23.659] 所以必须得活血
[00:13:23.659 - 00:13:25.299] 活血的代价是什么
[00:13:25.299 - 00:13:26.860] 就是出血风险的增加
[00:13:26.860 - 00:13:28.659] 对不对这个很好理解
[00:13:28.659 - 00:13:30.379] 我们中国人容易出血
[00:13:30.379 - 00:13:32.419] 所以我们中国人用的活血药
[00:13:32.419 - 00:13:34.539] 用的相对比较少
[00:13:34.539 - 00:13:36.340] 这个少的意思就是说
[00:13:36.379 - 00:13:39.340] 它对于一个正常人来说
[00:13:39.340 - 00:13:40.940] 它是不会出血的
[00:13:40.940 - 00:13:42.100] 这个听懂
[00:13:42.100 - 00:13:44.500] 但是如果你本人身体体内
[00:13:44.500 - 00:13:47.740] 有某一段血管有病变了
[00:13:47.740 - 00:13:49.179] 那你有可能是扛不住
[00:13:49.179 - 00:13:50.860] 这个活血药的剂量了
[00:13:50.860 - 00:13:52.220] 什么叫血管有病变
[00:13:52.220 - 00:13:53.059] 表面的来说
[00:13:53.059 - 00:13:55.379] 有的病人经常会一刷牙
[00:13:55.379 - 00:13:57.379] 就大量的牙齿出血
[00:13:57.379 - 00:13:59.620] 还有的病人鼻子不去碰它
[00:13:59.620 - 00:14:01.179] 自发性的会出鼻血
[00:14:01.179 - 00:14:02.940] 这两种病人这两三天
[00:14:02.940 - 00:14:05.179] 这种症状可能会加重
[00:14:05.220 - 00:14:06.340] 看起来比较吓人
[00:14:06.340 - 00:14:08.379] 但是一般没有危险
[00:14:08.379 - 00:14:10.860] 两三天以后就好了
[00:14:10.860 - 00:14:12.179] 我们比较怕的是
[00:14:12.179 - 00:14:14.500] 你内脏的血管有问题
[00:14:14.500 - 00:14:16.179] 比如说有的病人
[00:14:16.179 - 00:14:18.899] 有过脑移血脑出血的病史
[00:14:18.899 - 00:14:21.700] 比如说有的病人这半年以内
[00:14:21.700 - 00:14:23.740] 有过大面积的脑梗
[00:14:23.740 - 00:14:25.919] 重风的病史
[00:14:25.919 - 00:14:28.960] 还有的病人有内脏的肿瘤
[00:14:28.960 - 00:14:31.320] 比如说脑瘤胃癌肺癌
[00:14:31.320 - 00:14:33.120] 肠癌膀胱癌子宫癌
[00:14:33.159 - 00:14:35.960] 有这些内脏肿瘤的
[00:14:35.960 - 00:14:37.279] 还有一部分病人
[00:14:37.279 - 00:14:41.000] 有胃或者肠道的溃痒
[00:14:41.000 - 00:14:43.600] 这四大类毛病有一个共同的特点
[00:14:43.600 - 00:14:45.399] 就是你病造局部的血管
[00:14:45.399 - 00:14:46.799] 是坏掉的血管
[00:14:46.799 - 00:14:48.039] 不正常的血管
[00:14:48.039 - 00:14:50.879] 这种血管有可能承受不了
[00:14:50.879 - 00:14:52.039] 常规活距疗的
[00:14:52.039 - 00:14:53.320] 所以希望大家
[00:14:53.320 - 00:14:54.879] 如果有这些病史
[00:14:54.879 - 00:14:56.879] 你忘记了或者隐瞒了
[00:14:56.879 - 00:14:58.440] 那你待会都要第一时间
[00:14:58.440 - 00:15:01.039] 跟你的床卫医生在局中碰
[00:15:01.080 - 00:15:02.919] 树前的大小便
[00:15:02.919 - 00:15:05.559] 请大家非常认真地要留样的
[00:15:05.559 - 00:15:08.480] 这是我们筛查你内脏出血很好的办法
[00:15:08.480 - 00:15:10.159] 有的病人就能筛出来
